id_number,place,cat_place,age_category,sex,2.5km_seconds,5km_seconds,7.5km_seconds,total_seconds
19512,10005,2424,23-34,M,863,1631,2415,3241
19513,14328,3831,35-44,M,2773,3615,4427,3465
19514,17510,4467,35-44,M,1821,2676,3523,3620
19515,25708,5899,35-44,M,,5323,6329,4182
19516,7138,2240,35-44,M,3787,4515,5223,3057
19517,6689,1413,45-54,M,1657,2374,3104,3028
19518,9134,2721,35-44,M,1807,2557,3289,3185
19519,12629,3495,35-44,M,,5443,6237,3378
19520,15905,3196,45-54,M,930,1787,2608,3543
19521,3036,145,16-19,M,3477,4130,4782,2760
19522,17890,1282,23-34,F,873,1749,2603,3641
19523,19141,3747,45-54,M,1017,1917,2818,3719
19524,9677,2851,35-44,M,,4647,5403,3217
19525,13118,3584,35-44,M,2012,2837,3661,3404
19526,7135,1830,23-34,M,3606,4340,5050,3057
19529,7822,1991,23-34,M,968,1714,2450,3103
19530,15305,3095,45-54,M,1751,2567,3440,3513
19532,32399,6950,35-44,M,4421,5478,6540,5018
19533,7510,1917,23-34,M,,2610,3326,3080
19534,8062,1722,45-54,M,3650,4360,5089,3119
19535,6409,1678,23-34,M,1711,2408,3116,3009
19537,8487,1815,45-54,M,891,1634,2336,3147
19539,19083,4746,35-44,M,2797,3679,4552,3715
19540,22882,4734,23-34,M,4073,5005,5931,3970
19541,22061,4199,45-54,M,,5405,6316,3911
19542,29886,1882,55+,M,,5785,6794,4600
19543,17237,4427,35-44,M,3978,4837,5637,3606
19544,575,163,23-34,M,630,1188,1738,2376
19545,13565,791,55+,M,1948,2778,3565,3424
19546,21836,4568,23-34,M,1917,2861,3775,3896
19547,21844,4570,23-34,M,1918,2861,3776,3896
19548,5240,1392,23-34,M,864,1547,2230,2936
19549,24380,4944,23-34,M,4145,5097,6031,4081
19550,26766,6069,35-44,M,1099,2121,3145,4272
19551,5149,1371,23-34,M,,5304,5980,2932
19552,5818,1877,35-44,M,942,1651,2333,2973
19553,17300,3865,23-34,M,4451,5305,6112,3609
19554,15878,4140,35-44,M,4161,4993,5790,3541
19555,2077,544,23-34,M,3548,4174,4785,2654
19556,15880,3608,23-34,M,4161,4993,5790,3542
19557,24444,1549,55+,M,1571,2570,3519,4085
19558,22886,4318,45-54,M,4452,5379,6302,3970
19559,5346,1753,35-44,M,784,1462,2146,2945
19560,14792,3389,23-34,M,,2725,3550,3486
19561,17390,3875,23-34,M,1970,2829,3690,3615
19562,11760,2787,23-34,M,,4626,5379,3333
19563,3928,1067,23-34,M,930,1611,2246,2839
19564,1211,453,35-44,M,706,1311,1892,2517
19565,5214,1707,35-44,M,878,1577,2251,2935
19566,3771,1029,23-34,M,3531,4197,4872,2826
19567,14023,3760,35-44,M,2716,3555,4375,3449
19568,2656,933,35-44,M,1707,2349,2980,2717
19569,10506,3041,35-44,M,1046,1758,2443,3269
19570,20589,1645,23-34,F,3949,4850,5751,3808
19571,622,175,23-34,M,632,1216,1775,2389
19572,25266,5071,23-34,M,4592,5583,6511,4147
19573,7509,1916,23-34,M,1808,2539,3257,3080
19574,2914,1022,35-44,M,702,1354,2013,2747
19575,15587,4085,35-44,M,3952,4764,5570,3527
19576,27542,6215,35-44,M,4075,5150,6154,4345
19577,3269,888,23-34,M,756,1414,2039,2783
19578,3899,812,45-54,M,,1535,2186,2837
19579,4102,1118,23-34,M,739,1405,2067,2852
19580,2608,915,35-44,M,782,1421,2051,2713
19581,11144,2654,23-34,M,1004,1792,2564,3304
19582,21151,4470,23-34,M,,2571,3478,3848
19583,20359,4973,35-44,M,,1769,2682,3795
19584,29342,5606,23-34,M,4632,5696,6699,4536
19585,126,39,35-44,M,528,1046,1544,2134
19586,31391,1978,55+,M,4164,5309,6428,4830
19587,21281,4490,23-34,M,4394,5334,6240,3856
19588,5798,1526,23-34,M,715,1426,2155,2972
19589,21284,4491,23-34,M,4394,5333,6240,3856
19590,3827,1294,35-44,M,771,1453,2116,2831
19591,9842,2887,35-44,M,1880,2652,3411,3229
19592,7221,1852,23-34,M,840,1569,2275,3061
19593,5311,1739,35-44,M,3629,4321,5008,2942
19594,9473,2312,23-34,M,1898,2673,3398,3204
19595,26315,5195,23-34,M,4102,5119,6111,4237
19596,958,196,45-54,M,631,1224,1806,2466
19597,5713,1855,35-44,M,1670,2360,3084,2967
19598,7003,2199,35-44,M,3730,4442,5150,3048
19599,1809,477,23-34,M,666,1282,1895,2618
19600,29541,5226,45-54,M,,5470,6514,4559
19601,9225,2267,23-34,M,2684,3466,4198,3190
19602,17854,798,45-54,F,1882,2724,3577,3639
19605,14286,3819,35-44,M,989,1823,2644,3463
19606,1196,324,23-34,M,3412,4018,4613,2515
19607,1662,440,23-34,M,650,1252,1864,2596
19608,6421,269,16-19,M,,2501,3179,3009
19609,17429,3882,23-34,M,1972,2844,3688,3617
19610,28097,5035,45-54,M,4272,5263,,4403
19611,5445,1437,23-34,M,,4565,5224,2952
19612,12693,519,16-19,M,1786,2580,3385,3381
19615,2032,748,35-44,M,,1525,2129,2650
19616,11765,3297,35-44,M,892,1678,2450,3334
19617,6145,1970,35-44,M,819,1521,2238,2992
19618,23420,1484,55+,M,1924,2860,3803,4009
19619,4271,1154,23-34,M,817,1479,2162,2866
19620,33149,6023,23-34,M,,6236,7405,5243
19621,14224,3276,23-34,M,3793,4657,5455,3459
19622,12018,2531,45-54,M,1886,2653,3420,3347
19623,30519,980,16-19,M,4286,5353,6448,4699
19624,19539,4242,23-34,M,,5196,6083,3743
19625,22177,4620,23-34,M,4611,5508,6434,3920
19626,5449,1438,23-34,M,,4565,5224,2952
19628,30458,5736,23-34,M,4473,5483,6554,4692
19629,12531,509,16-19,M,,4931,5734,3373
19630,19563,4246,23-34,M,,5196,6083,3744
19631,22665,642,20-22,M,4800,5700,6575,3954
19632,22919,652,20-22,M,2924,3876,4819,3972
19633,6192,1296,45-54,M,3736,4427,5101,2995
19634,29536,1856,55+,M,4632,5696,6700,4558
19635,23526,4826,23-34,M,1088,2017,2967,4015
19636,5444,1784,35-44,M,3511,4209,4916,2951
19637,577,165,23-34,M,609,1174,1730,2376
19638,507,191,35-44,M,590,1141,1694,2355
19639,3859,147,20-22,M,869,1530,2194,2834
19645,4580,1533,35-44,M,788,1450,2115,2890
19646,2010,530,23-34,M,674,1289,1894,2648
19647,7923,2019,23-34,M,775,1496,2250,3110
19648,3078,1063,35-44,M,919,1582,2225,2764
19649,31092,6758,35-44,M,4084,5215,6320,4786
